case_id,start_time,end_time,claim_value,product_group,Activity,Resource,role
1,2020-01-01T00:00:00,2020-01-01T00:37:00,5813.21,Motor,Register Claim,Lexi Larsen,Claims Administrator
1,2020-01-01T05:37:00,2020-01-01T05:45:00,5813.21,Motor,Quick Assessment,Lexi Larsen,Claims Officer
1,2020-01-01T06:41:00,2020-01-01T06:55:00,5813.21,Motor,Finalize Assessment,Karter Chapman,Claims Officer
1,2020-01-01T23:13:00,2020-01-01T23:13:00,5813.21,Motor,Approve Assessment,Morgan Roach,Operations Manager
1,2020-01-02T01:22:00,2020-01-02T09:20:00,5813.21,Motor,Prepare Claim Settlement,Alyvia Berger,Operations Manager
1,2020-01-03T11:20:00,2020-01-03T11:21:00,5813.21,Motor,Approve Claim Settlement,Rachael Tanner,Product Manager
1,2020-01-04T00:54:00,2020-01-04T00:54:00,5813.21,Motor,Execute Claim Settlement,Katelyn Pitts,Claims Administrator
10,2020-01-02T02:52:00,2020-01-02T03:43:00,5122.11,Motor,Register Claim,Roland Salazar,Claims Administrator
10,2020-01-02T10:25:00,2020-01-02T10:32:00,5122.11,Motor,Quick Assessment,Nathanial Oliver,Claims Officer
10,2020-01-02T15:32:00,2020-01-02T15:59:00,5122.11,Motor,Finalize Assessment,Alyvia Berger,Claims Officer
10,2020-01-03T22:05:00,2020-01-03T22:05:00,5122.11,Motor,Approve Assessment,Aria Bonilla,Operations Manager
10,2020-01-03T23:53:00,2020-01-04T04:31:00,5122.11,Motor,Prepare Claim Settlement,Karter Chapman,Operations Manager
10,2020-01-07T08:54:00,2020-01-07T08:55:00,5122.11,Motor,Approve Claim Settlement,Morgan Roach,Product Manager
10,2020-01-10T00:23:00,2020-01-10T00:23:00,5122.11,Motor,Execute Claim Settlement,Mariam Tate,Claims Administrator
1004,2020-05-26T19:39:00,2020-05-26T19:56:00,23240.33,Motor,Register Claim,Morgan Roach,Claims Administrator
1004,2020-05-27T13:35:00,2020-05-27T13:44:00,23240.33,Motor,Analyze Claim,Brynn Warren,Assessor
1004,2020-05-27T13:50:00,2020-05-27T13:51:00,23240.33,Motor,Assess Claim,Brynn Warren,Assessor
1004,2020-05-31T22:43:00,2020-05-31T23:18:00,23240.33,Motor,Finalize Assessment,Alyvia Berger,Claims Officer
1008,2020-05-28T07:27:00,2020-05-28T07:50:00,489.14,Motor,Register Claim,Hugh Collins,Claims Administrator
1008,2020-05-28T14:05:00,2020-05-28T14:14:00,489.14,Motor,Quick Assessment,Emilee Dorsey,Claims Officer
1008,2020-06-09T22:49:00,2020-06-09T23:20:00,489.14,Motor,Finalize Assessment,Rayna Jackson,Claims Officer
1015,2020-05-28T19:50:00,2020-05-28T20:05:00,247.85,Motor,Register Claim,Bailee Barr,Claims Administrator
1015,2020-05-29T19:34:00,2020-05-29T19:38:00,247.85,Motor,Analyze Claim,Brynn Warren,Assessor
102,2020-01-13T13:17:00,2020-01-13T13:26:00,6514.15,Motor,Register Claim,Bailee Barr,Claims Administrator
