case_id,start_time,end_time,claim_value,product_group,Activity,Resource,role
1009,2020-05-28T08:30:00,2020-05-28T08:52:00,20690.67, Motor, Register Claim,Jaylen Gardner,Claims Administrator
1009,2020-05-28T16:05:00,2020-05-28T16:14:00,20690.67, Motor, Quick Assessment,Nathanial Oliver,Claims Officer
1009,2020-05-30T16:31:00,2020-05-30T16:54:00,20690.67, Motor, Finalize Assessment,Karter Chapman,Claims Officer
1009,2020-05-30T17:47:00,2020-05-30T17:55:00,20690.67, Motor, Amend Assessment,Lexi Larsen,Claims Officer
1009,2020-05-31T23:45:00,2020-06-01T00:09:00,20690.67, Motor, Finalize Assessment,Alyvia Berger,Claims Officer
1009,2020-06-01T01:02:00,2020-06-01T01:11:00,20690.67, Motor, Amend Assessment,Nathanial Oliver,Claims Officer
1009,2020-06-01T02:19:00,2020-06-01T02:46:00,20690.67, Motor, Finalize Assessment,Alyvia Berger,Claims Officer
1009,2020-06-01T03:30:00,2020-06-01T03:40:00,20690.67, Motor, Amend Assessment,Dallas Melendez,Claims Officer
1009,2020-06-09T01:58:00,2020-06-09T02:20:00,20690.67, Motor, Finalize Assessment,Karter Chapman,Claims Officer
1009,2020-06-09T18:22:00,2020-06-09T18:35:00,20690.67, Motor, Request Customer Info,Brynn Warren,Claims Officer
1009,2020-08-08T02:49:00,2020-08-08T03:06:00,20690.67, Motor, Finalize Assessment,Rayna Jackson,Claims Officer
1009,2020-08-08T22:26:00,2020-08-08T22:26:00,20690.67, Motor, Approve Assessment,Roland Salazar,Operations Manager
1009,2020-08-09T06:33:00,2020-08-09T14:47:00,20690.67, Motor, Prepare Claim Settlement,Karter Chapman,Operations Manager
1009,2020-08-24T12:38:00,2020-08-24T12:39:00,20690.67, Motor, Approve Claim Settlement,Aria Bonilla,Product Manager
1009,2020-08-30T05:40:00,2020-08-30T05:40:00,20690.67, Motor, Execute Claim Settlement,Katelyn Pitts,Claims Administrator
101,2020-01-13T12:14:00,2020-01-13T12:56:00,1663.33, Motor, Register Claim,Dallas Melendez,Claims Administrator
101,2020-01-14T11:56:00,2020-01-14T12:00:00,1663.33, Motor, Analyze Claim,Brynn Warren,Assessor
101,2020-01-14T12:08:00,2020-01-14T12:11:00,1663.33, Motor, Assess Claim,Brynn Warren,Assessor
101,2020-01-17T01:11:00,2020-01-17T01:27:00,1663.33, Motor, Finalize Assessment,Karter Chapman,Claims Officer
101,2020-01-19T13:49:00,2020-01-19T13:49:00,1663.33, Motor, Approve Assessment,Bailee Barr,Operations Manager
101,2020-01-19T22:34:00,2020-01-20T08:09:00,1663.33, Motor, Prepare Claim Settlement,Rayna Jackson,Operations Manager
101,2020-01-26T17:12:00,2020-01-26T17:13:00,1663.33, Motor, Approve Claim Settlement,Morgan Roach,Product Manager
101,2020-01-28T07:19:00,2020-01-28T07:19:00,1663.33, Motor, Execute Claim Settlement,Kamila Leblanc,Claims Administrator
1011,2020-05-28T12:20:00,2020-05-28T12:59:00,4337.97, Motor, Register Claim,Hugh Collins,Claims Administrator
1011,2020-05-28T18:51:00,2020-05-28T19:04:00,4337.97, Motor, Quick Assessment,Emilee Dorsey,Claims Officer
1011,2020-05-29T23:21:00,2020-05-29T23:35:00,4337.97, Motor, Finalize Assessment,Alyvia Berger,Claims Officer
1011,2020-05-30T00:24:00,2020-05-30T00:31:00,4337.97, Motor, Amend Assessment,Emilee Dorsey,Claims Officer
1011,2020-06-01T12:57:00,2020-06-01T13:16:00,4337.97, Motor, Finalize Assessment,Karter Chapman,Claims Officer
1011,2020-06-01T13:57:00,2020-06-01T14:02:00,4337.97, Motor, Amend Assessment,Hugh Collins,Claims Officer
1011,2020-06-18T16:31:00,2020-06-18T16:56:00,4337.97, Motor, Finalize Assessment,Rayna Jackson,Claims Officer
1011,2020-06-18T17:49:00,2020-06-18T17:58:00,4337.97, Motor, Amend Assessment,Jaylen Gardner,Claims Officer
1011,2020-06-21T19:40:00,2020-06-21T20:08:00,4337.97, Motor, Finalize Assessment,Alyvia Berger,Claims Officer
1011,2020-06-21T20:56:00,2020-06-21T21:05:00,4337.97, Motor, Amend Assessment,Roland Salazar,Claims Officer
1011,2020-07-08T23:54:00,2020-07-09T00:05:00,4337.97, Motor, Finalize Assessment,Alyvia Berger,Claims Officer
