case_id,start_time,end_time,claim_value,product_group,Activity,Resource,role
1,2020-01-01T00:00:00,2020-01-01T00:37:00,5813.21, Motor, Register Claim,Lexi Larsen,Claims Administrator
1,2020-01-01T05:37:00,2020-01-01T05:45:00,5813.21, Motor, Quick Assessment,Lexi Larsen,Claims Officer
1,2020-01-01T06:41:00,2020-01-01T06:55:00,5813.21, Motor, Finalize Assessment,Karter Chapman,Claims Officer
1,2020-01-01T23:13:00,2020-01-01T23:13:00,5813.21, Motor, Approve Assessment,Morgan Roach,Operations Manager
1,2020-01-02T01:22:00,2020-01-02T09:20:00,5813.21, Motor, Prepare Claim Settlement,Alyvia Berger,Operations Manager
1,2020-01-03T11:20:00,2020-01-03T11:21:00,5813.21, Motor, Approve Claim Settlement,Rachael Tanner,Product Manager
1,2020-01-04T00:54:00,2020-01-04T00:54:00,5813.21, Motor, Execute Claim Settlement,Katelyn Pitts,Claims Administrator
10,2020-01-02T02:52:00,2020-01-02T03:43:00,5122.11, Motor, Register Claim,Roland Salazar,Claims Administrator
10,2020-01-02T10:25:00,2020-01-02T10:32:00,5122.11, Motor, Quick Assessment,Nathanial Oliver,Claims Officer
10,2020-01-02T15:32:00,2020-01-02T15:59:00,5122.11, Motor, Finalize Assessment,Alyvia Berger,Claims Officer
10,2020-01-03T22:05:00,2020-01-03T22:05:00,5122.11, Motor, Approve Assessment,Aria Bonilla,Operations Manager
10,2020-01-03T23:53:00,2020-01-04T04:31:00,5122.11, Motor, Prepare Claim Settlement,Karter Chapman,Operations Manager
10,2020-01-07T08:54:00,2020-01-07T08:55:00,5122.11, Motor, Approve Claim Settlement,Morgan Roach,Product Manager
10,2020-01-10T00:23:00,2020-01-10T00:23:00,5122.11, Motor, Execute Claim Settlement,Mariam Tate,Claims Administrator
102,2020-01-13T13:17:00,2020-01-13T13:26:00,6514.15, Motor, Register Claim,Bailee Barr,Claims Administrator
102,2020-01-13T14:13:00,2020-01-13T14:20:00,6514.15, Motor, Quick Assessment,Matilda Escobar,Claims Officer
102,2020-01-16T19:32:00,2020-01-16T19:48:00,6514.15, Motor, Finalize Assessment,Alyvia Berger,Claims Officer
102,2020-01-18T07:58:00,2020-01-18T07:58:00,6514.15, Motor, Approve Assessment,Mitchell Mckay,Operations Manager
102,2020-01-18T09:57:00,2020-01-18T21:36:00,6514.15, Motor, Prepare Claim Settlement,Karter Chapman,Operations Manager
102,2020-01-20T11:38:00,2020-01-20T11:39:00,6514.15, Motor, Approve Claim Settlement,Morgan Roach,Product Manager
102,2020-01-22T07:39:00,2020-01-22T07:39:00,6514.15, Motor, Execute Claim Settlement,Katelyn Pitts,Claims Administrator
1031,2020-05-30T16:38:00,2020-05-30T16:57:00,8037.85, Motor, Register Claim,Dallas Melendez,Claims Administrator
1031,2020-05-30T17:56:00,2020-05-30T18:02:00,8037.85, Motor, Quick Assessment,Mitchell Mckay,Claims Officer
1031,2020-06-01T03:20:00,2020-06-01T03:37:00,8037.85, Motor, Finalize Assessment,Alyvia Berger,Claims Officer
